Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belize,BLZ,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,23.19034589,6.358700077,4.708178062,16.69811016,10.06628384,4.161403211,9.478786406,11.48634065,-14.62433713,16.80372644,10.62508868,12.19703241,11.94571712,9.746402348,12.94133338,18.16918778,14.98154315,18.75537259,14.52961165,16.37431628,13.8529721,18.75479153,11.36739213,11.01437135,10.41770539,10.07097429,10.26058779,16.84315257,11.46698498,8.202276946,11.65514758,9.353278089,9.499906997,10.29532623,7.628070046,6.312716035,8.937061366,9.189538687,9.393759281,4.307927226,7.355508693
Bermuda,BMU,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.39683894,18.95013375,21.28074356,21.97113917,19.93217041,28.54477858,44.40762993,44.11315582,35.53009432,39.77986871,41.95159969,30.22905118,32.18152217,27.94839572,17.85309791,17.32305791,10.65860771,6.022331912,10.07566894,-1.55933383,5.110629663,3.163720043,15.14603743,1.041041528,-3.217178149,3.767191392,4.770029141,7.491198547,13.3088029,9.434724955,1.931420923,4.833259518,9.155986266,9.62509692,3.895610139,4.211621972
Brazil,BRA,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.40884498,77.61683799,67.06091709,48.5047282,45.63781871,48.34043745,46.44739884,43.77915272,44.63516886,41.24032645,35.02251547,35.3667578,34.79200963,29.11580552,32.83345951,26.58209053,18.49884442,22.40367244,33.83234397,40.69836145,41.71380787,33.10233425,31.90307275,21.19717969,16.72824508,28.73650527
Barbados,BRB,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,-0.6612778858,3.212898421,5.798910952,6.005478356,6.808886214,4.392506287,1.31568767,6.500892202,2.895511442,7.412015518,7.580613714,11.18194813,3.537513467,6.72488138,8.893479767,7.276866409,8.835422975,0.9629369749,4.751744844,11.66464362,7.166315766,7.52383813,7.302639709,2.367223972,2.342734993,5.990418176,2.015860056,8.170684399,11.14026803,4.623297941,4.99100796,9.347248021,5.588627244,7.848436298,10.06585433,8.308387812,5.301341027,4.512928521,3.308285908,6.748763652,4.015971614,2.113040084
Brunei Darussalam,BRN,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.54134755,-5.460847144,-18.2270123,11.74888365,5.106680785,-0.5698254376,-8.962385362,-11.17010213,-4.132499442,4.331025432,-6.382603351,35.4151176,-9.588180213,-12.21537999,4.229749245,8.562908315,7.484658302,28.05387732,16.14831697,0.5205245375,-3.403894306,9.140679846,18.35814431,-8.631055637,-15.08147162
Bhutan,BTN,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,7.188979133,7.317805753,4.390113494,7.972486849,7.290693821,13.74744421,0.03055557593,8.893352916,8.280794397,5.561450499,7.415044793,7.820734827,3.776064497,7.125327808,7.295509304,2.739536582,4.791248096,9.258469599,8.057557546,9.961572273,10.21726058,11.76074972,10.89152994,8.118035159,8.139015731,10.72966446,7.907932153,8.585369231,7.616463931,5.059151928,4.414795204,7.714809555,6.644196796,10.94929141,9.356456728,8.700904568,12.02903873,12.98421101,6.320170266,8.87911732,14.56140801
Botswana,BWA,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,-1.556654985,9.721909504,19.78189131,4.257201656,-2.968963509,-9.271153197,-2.683864922,-2.390604784,-12.11416662,-5.263682317,1.481638236,6.327978999,6.902446348,1.637970268,4.06788525,6.776493709,-1.388480721,8.530342197,3.349689855,0.4732558779,1.145825237,6.866384475,14.84470101,12.72615936,5.151956536,0.2301805685,10.74984513,9.606601366,6.554592168,-1.175676556,3.505910613,-1.467619028,7.75460206,8.5264764,-0.5490188652,4.068311766,-4.117352079,9.782808523,6.440911336,5.858874672,1.312712686,-2.861007093,-7.350151022
Central African Republic,CAF,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Real interest rate (%),FR.INR.RINR,,3.084345022,4.34478613,3.529872473,2.835855315,1.913344648,0.9991735159,1.443921399,2.746474092,2.986001715,,,,,,,,,,,,,6.395625107,5.088195837,8.235589134,7.010606244,7.188700301,4.513934866,6.019286846,8.243637485,10.32064955,6.682055289,5.931505106,4.592508068,5.342035186,6.25329952,4.243346994,3.770933061,6.795718208,4.450209078,2.813457464,4.086105851,2.932943223,1.387662865,0.7105263164,1.254599804,3.157423519,2.736105879,0.7135459428,4.82138484,-0.2385581675,-0.2281584232,1.765410833,1.240990437,1.035269466,3.684015959,1.931406584,0.1316269335,,,,,
Central Europe and the Baltics,CEB,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.865523246,2.282844337,2.413050268,2.739346526,2.622941725,2.778422162,3.365102086,3.996447542,3.248908871,3.006367395,1.849004653,2.739664717,3.401207848,1.563424255,-0.6135512001
Channel Islands,CHI,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,-1.211433267,4.03791192,5.416926307,-0.4144470877,19.56212916,21.55469919,5.918426113,9.259425194,10.860314,5.133201704,5.801214298,12.76720706,11.94194868,19.24062833,10.21196977,9.834873251,7.30156424,4.274612247,1.801028215,-1.773195332,-0.4130274832,-3.872201044,3.409024447,12.9104702,3.545972113,-3.768795801,5.587457765,9.223378342,6.846326437,2.12102531,0.5341005017,0.9829132479,-0.2626553051,2.547312162,,,,
China,CHN,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,1.2416394,2.62034423,7.350672131,5.97409667,2.149559564,-2.07731742,3.105961227,2.700243226,-2.772033113,2.52069312,3.451644667,1.804311854,0.4156351201,-3.65137209,-7.989744154,-1.412648187,3.354970473,6.911698894,7.356478446,7.204050341,3.710664082,3.72666389,4.679724345,2.638146636,-1.282811705,1.613277503,2.110577726,-0.2595705865,-2.305615343,5.531122909,-1.002401214,-1.402428747,3.585203529,3.755387055,4.522308432,4.353072252,2.901815389,0.112553973,0.821501872,3.024384821,3.838601433,-0.1944312714,2.056523864
Cote d'Ivoire,CIV,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.76399145,3.331830897,1.61328996,-0.368943717,3.724734136,3.543389897,-0.428915662,5.465350417,2.343357494,0.8917007608,0.3612329541,6.552136669,6.246748203,,,,,
Cameroon,CMR,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.21733254,22.22435169,18.83434227,24.69477027,29.58282582,26.33035023,21.24473863,16.14723359,17.52473816,20.76675035,14.08405653,-15.69024724,-4.77125575,19.68020038,21.22869604,7.227882784,
"Congo, Rep.",COG,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,8.555625925,13.8660468,11.19027451,14.20065914,-5.098230827,15.28657276,11.45805937,8.358405003,14.54666917,19.54132454,20.95820732,14.43888089,23.37814846,14.9195709,-11.13795592,13.33248084,9.775204901,7.823797978,7.270509662,9.36261383,6.697295974,9.67644438,8.821016978,8.594547354,5.372224027,4.542964842,8.655350954,8.90797441,8.442949352,8.785473732,9.032095057,8.134491128,7.15306949,7.467547259,8.248218417,1.551280099,1.417851532
